donor	receiver	compound	mass_rate	rate	frequency	community	medium
CH7-bin.4	CH7-bin.18	M_lac__L_e	0.0005591110554770003	0.00627722365467308	0.82	CM_P	SC2_C
CH7-bin.2	CH7-bin.16	M_gal_e	0.000556532635982039	0.003089180984761151	0.55	CM_P	SC2_C
environment	CH7-bin.20	M_cell3_e	0.0005559706848530444	0.0011021634167381546	0.65	CM_P	SC2_C
CH7-bin.16	environment	M_h2s_e	0.0005466321596188877	0.01603929953577638	1.0	CM_P	SC2_C
CH8-bin.22	environment	M_h2s_e	0.0005450704942628727	0.015993477097452902	1.0	CM_A	SC2_C
environment	CH1-bin.8	M_cell5_e	0.0005392410761804175	0.000650694503354004	0.05	M_P	SC2_C
CH7-bin.1	CH7-bin.13	M_glyc_e	0.0005361189806259507	0.005821463845178549	1.0	CM_P	SC2_C
CH7-bin.17	environment	M_co2_e	0.0005339097908531013	0.012131694085438396	0.95	CM_P	SC2_C
CH7-bin.18	environment	M_ac_e	0.000528418010082684	0.008949578365973184	0.17	CM_P	SC2_C
CH7-bin.2	CH7-bin.18	M_acald_e	0.0005256012333476936	0.011931273513990013	0.82	CM_P	SC2_C
CH1-bin.1	CH1-bin.9	M_acald_e	0.0005215999363521132	0.011840443116654558	0.24	M_P	SC2_C
CH7-bin.2	CH7-bin.9	M_gal_e	0.0005185425068041597	0.002878306766292654	0.59	CM_P	SC2_C
CH1-bin.4	environment	M_co2_e	0.0005135001872747009	0.01166793958746863	0.85	M_P	SC2_C
CH7-bin.23	CH7-bin.9	M_gal_e	0.0005092472600366552	0.0028267110507742494	0.13	CM_P	SC2_C
environment	CH1-bin.9	M_cys__L_e	0.0005048270880266277	0.00416668733963388	1.0	M_P	SC2_C
CH7-bin.23	CH7-bin.1	M_gal_e	0.0005039207778653169	0.0027971450085055283	0.01	CM_P	SC2_C
CH1-bin.6	CH1-bin.8	M_co2_e	0.0005030699303345955	0.011430939463856564	0.01	M_P	SC2_C
environment	CH8-bin.14	M_cell5_e	0.000499070793669468	0.0006022215972964782	0.95	CM_A	SC2_C
CH7-bin.11	CH7-bin.8	M_acald_e	0.0004918508003259933	0.011165130624574216	0.67	CM_P	SC2_C
CH1-bin.8	CH1-bin.6	M_acald_e	0.000487834194411948	0.01107395271113374	0.01	M_P	SC2_C
environment	CH8-bin.14	M_cell4_e	0.0004865409836644913	0.0007299107433578335	0.02	CM_A	SC2_C
CH7-bin.8	environment	M_h2s_e	0.0004857378840142993	0.014252537616907446	1.0	CM_P	SC2_C
CH1-bin.9	environment	M_h2s_e	0.0004783006833420719	0.014034315020248118	0.98	M_P	SC2_C
CH1-bin.8	CH1-bin.4	M_acald_e	0.00047774986070750556	0.010845035927838339	0.02	M_P	SC2_C
CH7-bin.23	CH7-bin.4	M_acald_e	0.00047265076728998445	0.010729285289563892	0.46	CM_P	SC2_C
CH7-bin.20	environment	M_ac_e	0.00046578091346479236	0.00788872200963677	0.94	CM_P	SC2_C
CH7-bin.2	CH7-bin.1	M_gal_e	0.0004588683975102075	0.0025470699047056462	0.17	CM_P	SC2_C
CH7-bin.8	CH7-bin.2	M_glc__D_e	0.00045829728627722743	0.0025438998013782963	0.01	CM_P	SC2_C
environment	CH7-bin.8	M_cys__L_e	0.00045509527942004285	0.003756216304673842	1.0	CM_P	SC2_C
CH1-bin.6	CH1-bin.10	M_glc__D_e	0.00045182479566199867	0.0025079725373871598	0.91	M_P	SC2_C
CH1-bin.8	CH1-bin.9	M_glyc_e	0.0004483212987879522	0.004868110114046617	0.1	M_P	SC2_C
